 -0.000  4.1454E+00  1.1272E-04 -5.2987E+00  9.918E-01  1.5634E+01  1.7739E+00
  0.100  4.1457E+00  5.2802E-02 -5.7986E+00  9.921E-01  1.5658E+01  1.7766E+00
  0.200  4.1466E+00  1.0344E-01 -6.2731E+00  9.929E-01  1.5727E+01  1.7847E+00
  0.300  4.1478E+00  1.5012E-01 -6.7248E+00  9.944E-01  1.5835E+01  1.7982E+00
  0.400  4.1490E+00  1.9166E-01 -7.1555E+00  9.963E-01  1.5973E+01  1.8168E+00
  0.500  4.1497E+00  2.2762E-01 -7.5668E+00  9.987E-01  1.6127E+01  1.8405E+00
  0.600  4.1495E+00  2.5815E-01 -7.9602E+00  1.002E+00  1.6281E+01  1.8691E+00
  0.700  4.1477E+00  2.8380E-01 -8.3363E+00  1.005E+00  1.6416E+01  1.9024E+00
  0.800  4.1437E+00  3.0528E-01 -8.6952E+00  1.009E+00  1.6513E+01  1.9402E+00
  0.900  4.1370E+00  3.2324E-01 -9.0369E+00  1.013E+00  1.6556E+01  1.9824E+00
  1.000  4.1269E+00  3.3814E-01 -9.3608E+00  1.017E+00  1.6529E+01  2.0287E+00
  1.100  4.1129E+00  3.5027E-01 -9.6668E+00  1.022E+00  1.6422E+01  2.0790E+00
  1.200  4.0946E+00  3.5974E-01 -9.9544E+00  1.027E+00  1.6233E+01  2.1333E+00
  1.300  4.0713E+00  3.6651E-01 -1.0223E+01  1.033E+00  1.5964E+01  2.1913E+00
  1.400  4.0428E+00  3.7042E-01 -1.0473E+01  1.039E+00  1.5626E+01  2.2531E+00
  1.500  4.0085E+00  3.7124E-01 -1.0703E+01  1.045E+00  1.5235E+01  2.3186E+00
  1.600  3.9682E+00  3.6882E-01 -1.0913E+01  1.052E+00  1.4812E+01  2.3879E+00
  1.700  3.9213E+00  3.6272E-01 -1.1103E+01  1.058E+00  1.4382E+01  2.4609E+00
  1.800  3.8676E+00  3.5280E-01 -1.1269E+01  1.065E+00  1.3970E+01  2.5379E+00
  1.900  3.8065E+00  3.3890E-01 -1.1411E+01  1.070E+00  1.3604E+01  2.6190E+00
  2.000  3.7376E+00  3.2000E-01 -1.1522E+01  1.075E+00  1.3315E+01  2.7044E+00
  2.200  3.5354E+00  2.6323E-01 -1.1671E+01  1.116E+00  1.1020E+01  2.9054E+00
  2.400  3.4555E+00  2.5285E-01 -1.1980E+01  1.273E+00  6.7520E+00  3.0634E+00
  2.600  3.4428E+00  2.2393E-01 -1.2291E+01  1.312E+00  5.9057E+00  3.1932E+00
  2.800  3.3973E+00  1.8760E-01 -1.2453E+01  1.321E+00  5.5223E+00  3.3349E+00
  3.000  3.3363E+00  1.5252E-01 -1.2447E+01  1.316E+00  5.3715E+00  3.4836E+00
  3.200  3.2657E+00  1.4220E-01 -1.2247E+01  1.294E+00  5.3467E+00  3.6382E+00
  3.400  3.1876E+00  1.6431E-01 -1.2027E+01  1.274E+00  5.4014E+00  3.7983E+00
  3.600  3.1050E+00  2.1092E-01 -1.1941E+01  1.248E+00  5.5111E+00  3.9631E+00
  3.800  3.0166E+00  2.6875E-01 -1.1949E+01  1.225E+00  5.6617E+00  4.1320E+00
  4.000  2.9242E+00  3.2752E-01 -1.2001E+01  1.204E+00  5.8445E+00  4.3045E+00
  4.200  2.8290E+00  3.8558E-01 -1.2078E+01  1.184E+00  6.0535E+00  4.4802E+00
  4.400  2.7302E+00  4.4073E-01 -1.2158E+01  1.164E+00  6.2845E+00  4.6587E+00
  4.600  2.6284E+00  4.9111E-01 -1.2234E+01  1.147E+00  6.5345E+00  4.8395E+00
  4.800  2.5242E+00  5.3830E-01 -1.2315E+01  1.132E+00  6.8012E+00  5.0224E+00
  5.000  2.4184E+00  5.8172E-01 -1.2390E+01  1.114E+00  7.0829E+00  5.2071E+00
  5.200  2.3117E+00  6.2151E-01 -1.2460E+01  1.099E+00  7.3782E+00  5.3933E+00
  5.400  2.2051E+00  6.5658E-01 -1.2527E+01  1.085E+00  7.6860E+00  5.5810E+00
  5.600  2.0999E+00  6.8776E-01 -1.2591E+01  1.070E+00  8.0052E+00  5.7698E+00
  5.800  1.9971E+00  7.1467E-01 -1.2652E+01  1.058E+00  8.3353E+00  5.9597E+00
  6.000  1.8965E+00  7.3530E-01 -1.2708E+01  1.045E+00  8.6756E+00  6.1505E+00
  6.500  1.6575E+00  7.6599E-01 -1.2839E+01  1.021E+00  9.5674E+00  6.6309E+00
  7.000  1.4306E+00  7.6878E-01 -1.2959E+01  1.003E+00  1.0513E+01  7.1152E+00
  7.500  1.2110E+00  7.5332E-01 -1.3067E+01  9.905E-01  1.1507E+01  7.6024E+00
  8.000  9.9123E-01  7.2336E-01 -1.3170E+01  9.791E-01  1.2547E+01  8.0918E+00
  8.500  7.8537E-01  6.8275E-01 -1.3269E+01  9.691E-01  1.3630E+01  8.5829E+00
  9.000  5.9361E-01  6.3514E-01 -1.3369E+01  9.609E-01  1.4753E+01  9.0754E+00
  9.500  4.1320E-01  5.8543E-01 -1.3473E+01  9.538E-01  1.5914E+01  9.5690E+00
 10.000  2.3801E-01  5.3694E-01 -1.3580E+01  9.465E-01  1.7112E+01  1.0064E+01
 11.000 -1.0231E-01  4.4703E-01 -1.3796E+01  9.325E-01  1.9613E+01  1.1055E+01
 12.000 -4.1365E-01  3.7144E-01 -1.4014E+01  9.239E-01  2.2246E+01  1.2048E+01
 13.000 -7.0418E-01  3.1048E-01 -1.4231E+01  9.199E-01  2.5003E+01  1.3042E+01
 14.000 -9.7147E-01  2.6051E-01 -1.4448E+01  9.178E-01  2.7877E+01  1.4038E+01
 15.000 -1.2187E+00  2.1971E-01 -1.4661E+01  9.178E-01  3.0863E+01  1.5034E+01
 16.000 -1.4496E+00  1.8446E-01 -1.4861E+01  9.184E-01  3.3956E+01  1.6031E+01
 17.000 -1.6633E+00  1.5624E-01 -1.5037E+01  9.197E-01  3.7150E+01  1.7028E+01
 18.000 -1.8640E+00  1.3450E-01 -1.5196E+01  9.213E-01  4.0442E+01  1.8026E+01
 19.000 -2.0511E+00  1.1808E-01 -1.5340E+01  9.231E-01  4.3827E+01  1.9024E+01
 20.000 -2.2270E+00  1.0613E-01 -1.5470E+01  9.250E-01  4.7303E+01  2.0022E+01
